Id,gc-Precision,gc-Recall,gc-Mixed,ccd-Precision,ccd-Recall,ccd-Mixed,ccnd-Precision,ccnd-Recall,ccnd-Mixed
785,0.8669,0.9631,0.9150,0.9082,0.9720,0.9401,0.9732,0.8825,0.9279
1584,0.9545,0.9536,0.9540,0.9507,0.9736,0.9621,0.9843,0.8092,0.8968
2149,0.8738,0.9788,0.9263,0.8709,0.9753,0.9231,1.0000,0.6047,0.8024
2592,0.9823,0.9239,0.9531,0.9943,0.9169,0.9556,0.9375,0.9516,0.9446
7784,0.9656,0.9685,0.9670,0.9693,0.9647,0.9670,0.9932,0.7478,0.8705
7816,0.8322,0.9300,0.8811,0.8947,0.8581,0.8764,0.6603,1.0000,0.8301
8532,0.9991,0.9760,0.9876,0.9667,0.9919,0.9793,1.0000,0.9061,0.9531
10363,0.9653,0.9357,0.9505,0.9197,0.9711,0.9454,0.9662,0.8694,0.9178
12639,0.9112,0.9277,0.9195,0.9009,0.9484,0.9246,0.9122,0.8781,0.8952
15746,0.9580,0.9781,0.9681,0.9510,0.9715,0.9612,0.9802,0.7566,0.8684
17031,0.9660,0.9548,0.9604,0.9666,0.9568,0.9617,0.9577,0.9525,0.9551
18519,0.8503,0.9052,0.8777,0.8070,0.9908,0.8989,0.9553,0.8054,0.8803
20247,0.9617,0.9374,0.9495,0.9733,0.9301,0.9517,0.9975,0.6905,0.8440
20333,0.9561,0.9740,0.9651,0.9462,0.9755,0.9608,0.9838,0.8082,0.8960
23359,0.8227,0.8421,0.8324,0.8089,0.9133,0.8611,0.6885,0.9654,0.8270
25393,0.9665,0.9361,0.9513,0.7982,0.9983,0.8982,0.9618,0.9394,0.9506
29393,0.9581,0.8740,0.9160,0.9613,0.8839,0.9226,0.8060,0.9477,0.8768
30494,0.8447,0.8912,0.8679,0.7946,0.9131,0.8538,0.6727,0.9653,0.8190
39769,0.9797,0.9188,0.9492,0.9830,0.9203,0.9517,0.9952,0.8600,0.9276
40036,0.8694,0.9669,0.9182,0.8553,0.9720,0.9137,0.7547,0.9962,0.8755
41990,0.9141,0.9191,0.9166,0.9273,0.8830,0.9052,0.9344,0.7992,0.8668
43816,0.9867,0.8481,0.9174,0.9895,0.8586,0.9241,0.9882,0.8119,0.9000
44652,0.9550,0.8064,0.8807,0.6551,0.9964,0.8257,0.9583,0.2609,0.6096
44699,0.9816,0.9106,0.9461,0.5695,0.9913,0.7804,1.0000,0.5175,0.7587
46804,0.9315,0.9714,0.9514,0.9439,0.9793,0.9616,0.9393,0.9689,0.9541
46872,0.9871,0.8875,0.9373,0.7306,0.9885,0.8595,0.9890,0.8350,0.9120
48924,0.8232,0.8135,0.8184,0.8248,0.8560,0.8404,0.6186,0.9360,0.7773
50638,0.9480,0.8905,0.9192,0.8530,0.9427,0.8979,0.9733,0.7579,0.8656
50679,0.9813,0.9878,0.9846,0.9899,0.9803,0.9851,1.0000,0.2311,0.6155
50811,0.9896,0.9315,0.9605,0.9753,0.9584,0.9669,1.0000,0.7578,0.8789
51610,0.9842,0.8810,0.9326,0.8971,0.9740,0.9355,0.9999,0.6685,0.8342
52017,0.9578,0.9295,0.9437,0.7846,0.9874,0.8860,0.7891,0.9886,0.8888
52462,0.9686,0.9030,0.9358,0.6645,0.9992,0.8318,0.8845,0.9770,0.9307
52565,0.9946,0.8771,0.9359,0.9984,0.8400,0.9192,0.9775,0.9192,0.9484
54123,0.9553,0.8797,0.9175,0.9411,0.9169,0.9290,0.8733,0.9396,0.9064
55950,0.8891,0.9697,0.9294,0.7264,0.9999,0.8631,0.8002,0.9778,0.8890
65736,0.9342,0.8679,0.9011,0.9211,0.9178,0.9194,0.7878,0.9992,0.8935
82846,0.9310,0.9867,0.9589,0.9156,0.9942,0.9549,0.7760,1.0000,0.8880
95843,0.9577,0.9799,0.9688,0.9514,0.9906,0.9710,0.8021,1.0000,0.9010
96549,0.9312,0.9271,0.9292,0.8714,0.9693,0.9203,0.9232,0.8997,0.9114
101420,0.9636,0.9390,0.9513,0.8076,0.9951,0.9013,0.7222,0.9925,0.8574
102331,0.8931,0.8663,0.8797,0.9273,0.9033,0.9153,0.9986,0.5407,0.7697
102820,0.9768,0.9444,0.9606,0.9910,0.9061,0.9485,1.0000,0.6147,0.8073
104619,0.9562,0.8829,0.9195,0.9473,0.8949,0.9211,0.8610,0.9090,0.8850
106330,0.9841,0.9445,0.9643,0.9584,0.9772,0.9678,1.0000,0.6336,0.8168
106881,0.9171,0.9357,0.9264,0.9394,0.9344,0.9369,0.8558,0.9711,0.9134
109827,0.9725,0.8636,0.9180,0.9950,0.8591,0.9271,1.0000,0.4590,0.7295
109900,0.9157,0.9327,0.9242,0.8897,0.9532,0.9215,0.9999,0.7052,0.8526
110359,0.9107,0.8982,0.9044,0.7594,0.9953,0.8774,0.7970,0.9648,0.8809
112798,0.9797,0.9782,0.9789,0.9857,0.9793,0.9825,0.9968,0.9460,0.9714
112997,0.9929,0.9848,0.9889,0.9865,0.9849,0.9857,0.9527,0.9976,0.9751
114871,0.8687,0.9773,0.9230,0.8309,0.9843,0.9076,0.9615,0.8240,0.8928
117197,0.8551,0.9636,0.9094,0.8620,0.9499,0.9060,0.8668,0.9407,0.9038
118209,0.9673,0.9535,0.9604,0.9755,0.9401,0.9578,0.9168,0.9837,0.9502
118367,0.9804,0.9787,0.9795,0.9199,0.9902,0.9551,1.0000,0.3204,0.6602
119233,0.8936,0.9342,0.9139,0.8995,0.9490,0.9243,0.8951,0.9403,0.9177
119677,0.9912,0.9637,0.9774,0.8424,1.0000,0.9212,1.0000,0.2298,0.6149
122046,0.9206,0.9650,0.9428,0.9644,0.8747,0.9196,0.9773,0.8232,0.9002
122927,0.9695,0.8975,0.9335,0.8572,0.9640,0.9106,0.7849,0.9656,0.8753
123213,0.9025,0.8889,0.8957,0.9155,0.8951,0.9053,0.6178,0.9906,0.8042
125405,0.9637,0.9360,0.9498,0.9734,0.9261,0.9498,0.9243,0.9518,0.9381
126107,0.9797,0.8406,0.9101,0.5652,0.9842,0.7747,0.5665,0.9946,0.7805
128654,0.9702,0.8716,0.9209,0.7923,0.9931,0.8927,0.9139,0.9383,0.9261
129113,0.8999,0.9623,0.9311,0.9112,0.9729,0.9421,0.9245,0.9515,0.9380
134689,0.9533,0.9190,0.9362,0.9600,0.9295,0.9447,0.9291,0.9614,0.9453
135902,0.9791,0.9854,0.9822,0.9827,0.9681,0.9754,0.8986,0.9996,0.9491
138115,0.8927,0.9624,0.9275,0.8998,0.9671,0.9334,0.9717,0.5255,0.7486
138492,0.9633,0.9054,0.9343,0.9705,0.9037,0.9371,0.9325,0.9181,0.9253
139872,0.9563,0.9346,0.9455,0.9790,0.9227,0.9509,0.8408,0.9871,0.9139
142324,0.8843,0.9714,0.9278,0.7890,0.9882,0.8886,0.9316,0.9571,0.9444
142585,0.9508,0.9206,0.9357,0.9310,0.9680,0.9495,0.8256,0.9945,0.9101
143961,0.9631,0.9879,0.9755,0.8167,0.9975,0.9071,0.6697,0.9984,0.8341
144114,0.9702,0.8707,0.9205,0.8325,0.9805,0.9065,0.8872,0.9127,0.9000
144300,0.9341,0.9435,0.9388,0.9117,0.9656,0.9387,0.9777,0.8743,0.9260
144333,0.8518,0.8910,0.8714,0.8094,0.9440,0.8767,0.9183,0.6363,0.7773
145591,0.9866,0.9850,0.9858,1.0000,0.8830,0.9415,1.0000,0.6940,0.8470
145620,0.7722,0.7697,0.7709,0.7304,0.7578,0.7441,0.7620,0.6202,0.6911
147725,0.8106,0.9719,0.8912,0.8201,0.9555,0.8878,0.8780,0.8886,0.8833
148707,0.9464,0.9788,0.9626,0.9568,0.9675,0.9622,1.0000,0.1039,0.5520
148719,0.9693,0.8994,0.9343,0.9552,0.9270,0.9411,0.9941,0.7794,0.8868
148957,0.9966,0.8240,0.9103,1.0000,0.7585,0.8792,1.0000,0.6102,0.8051
149568,0.9427,0.9443,0.9435,0.9609,0.9344,0.9476,0.9877,0.8185,0.9031
149622,0.8151,0.9712,0.8932,0.8436,0.9345,0.8891,0.9569,0.5251,0.7410
151516,0.8923,0.9467,0.9195,0.7843,0.9824,0.8833,0.7577,0.9580,0.8579
152120,0.8491,0.9586,0.9039,0.8386,0.9681,0.9033,0.8539,0.8408,0.8474
153299,0.8830,0.7802,0.8316,0.7691,0.9580,0.8635,0.8484,0.8828,0.8656
153343,0.8572,0.9368,0.8970,0.6874,0.9992,0.8433,0.7737,0.9907,0.8822
154947,0.8641,0.9648,0.9145,0.8348,0.9693,0.9020,0.8433,0.9739,0.9086
155291,0.8698,0.9851,0.9275,0.8221,0.9960,0.9090,0.8648,0.9815,0.9231
155341,0.8862,0.9768,0.9315,0.8471,0.9941,0.9206,0.9742,0.7778,0.8760
155571,0.9797,0.9458,0.9627,0.9941,0.8418,0.9180,0.9862,0.9121,0.9491
157365,0.9881,0.8933,0.9407,0.8499,0.9954,0.9226,0.7665,0.9997,0.8831
158945,0.9077,0.9197,0.9137,0.9245,0.9124,0.9184,0.9276,0.8959,0.9118
158956,0.9319,0.9537,0.9428,0.9606,0.8736,0.9171,0.9510,0.9398,0.9454
160772,0.7959,0.8442,0.8201,0.7972,0.9151,0.8562,0.7241,0.9603,0.8422
161032,0.9383,0.8512,0.8947,0.9405,0.8489,0.8947,0.9424,0.7988,0.8706
167902,0.9554,0.9118,0.9336,0.7470,0.9900,0.8685,0.6824,0.9993,0.8409
172595,0.9394,0.9133,0.9263,0.8838,0.9292,0.9065,0.7727,0.9712,0.8720
172977,0.9808,0.8233,0.9021,0.9810,0.8474,0.9142,0.9702,0.8749,0.9226
173091,0.9947,0.9402,0.9675,0.9445,0.9975,0.9710,1.0000,0.3638,0.6819
175443,0.9682,0.9571,0.9627,0.9980,0.8656,0.9318,1.0000,0.5217,0.7609
1425,0.9549,0.8565,0.9057,0.9366,0.9401,0.9384,0.9984,0.7392,0.8688
2157,0.9869,0.9564,0.9716,0.9486,0.9946,0.9716,1.0000,0.4411,0.7205
3501,0.8915,0.8461,0.8688,0.9021,0.8426,0.8724,0.9565,0.7476,0.8520
5600,0.9944,0.9207,0.9576,0.9974,0.9169,0.9572,1.0000,0.3165,0.6582
6614,0.9857,0.9815,0.9836,0.9993,0.9257,0.9625,1.0000,0.1588,0.5794
8629,0.9320,0.9831,0.9575,0.9437,0.9795,0.9616,0.9926,0.8616,0.9271
13597,0.9081,0.9731,0.9406,0.8826,0.9873,0.9350,0.9862,0.7464,0.8663
15254,0.9840,0.9663,0.9751,0.9903,0.9274,0.9589,1.0000,0.5075,0.7538
18575,0.9936,0.9619,0.9778,0.9445,0.9846,0.9645,0.6983,1.0000,0.8491
19221,0.9584,0.8752,0.9168,0.9359,0.9206,0.9283,0.9455,0.9003,0.9229
24567,0.9584,0.8976,0.9280,0.9552,0.9071,0.9311,1.0000,0.2286,0.6143
27696,0.9757,0.9886,0.9821,0.9819,0.9804,0.9811,1.0000,0.6213,0.8106
29675,0.8186,0.9747,0.8967,0.8205,0.9533,0.8869,0.8747,0.8431,0.8589
724,0.9897,0.9767,0.9832,0.9999,0.9608,0.9804,1.0000,0.0583,0.5291
11511,0.9934,0.7731,0.8832,0.9776,0.8375,0.9075,1.0000,0.1662,0.5831
15272,0.9687,0.9776,0.9732,0.9860,0.9764,0.9812,1.0000,0.6426,0.8213
20107,0.9456,0.9458,0.9457,0.9422,0.9467,0.9444,0.8453,0.9896,0.9175
26926,0.9974,0.9760,0.9867,0.9948,0.9741,0.9845,1.0000,0.8244,0.9122
28993,0.9508,0.9445,0.9477,0.9330,0.9353,0.9341,0.9166,0.9703,0.9434
29397,0.9541,0.8229,0.8885,0.8070,0.8609,0.8339,0.9971,0.6584,0.8278
29984,0.9904,0.9599,0.9752,0.9796,0.9781,0.9788,0.9914,0.9431,0.9673
36861,0.9107,0.9400,0.9254,0.9088,0.9568,0.9328,0.9259,0.9456,0.9357
53994,0.9121,0.9001,0.9061,0.9127,0.9000,0.9064,1.0000,0.2925,0.6462
64495,0.8134,0.9193,0.8664,0.7816,0.9640,0.8728,0.8603,0.8178,0.8391
67896,0.8275,1.0000,0.9137,0.8805,0.9991,0.9398,1.0000,0.6268,0.8134
84477,0.9867,0.9586,0.9727,0.8945,0.9991,0.9468,0.9995,0.8485,0.9240
98716,0.9379,0.7828,0.8603,0.6833,0.9963,0.8398,0.9767,0.6056,0.7912
885,0.9611,0.9209,0.9410,0.8539,0.9343,0.8941,1.0000,0.2350,0.6175
14439,0.9522,0.9446,0.9484,0.9525,0.9463,0.9494,0.7223,0.9977,0.8600
21879,0.6937,0.9477,0.8207,0.6148,0.9990,0.8069,1.0000,0.1387,0.5693
22479,0.9505,0.9502,0.9503,0.9539,0.9604,0.9571,1.0000,0.2339,0.6170
22935,0.9893,0.9336,0.9615,0.9898,0.9522,0.9710,1.0000,0.0715,0.5358
32081,0.9607,0.7233,0.8420,0.9314,0.8266,0.8790,0.9376,0.5232,0.7304
32735,0.9366,0.5382,0.7374,0.9946,0.3647,0.6796,0.4309,0.7254,0.5781
39480,0.8954,0.9507,0.9230,0.8590,0.9884,0.9237,0.7574,0.9691,0.8632
52507,0.8779,0.9859,0.9319,0.9234,0.9812,0.9523,0.6737,1.0000,0.8369
54592,0.6001,0.9557,0.7779,0.5697,0.9727,0.7712,0.4514,0.9718,0.7116
68628,0.8035,0.8325,0.8180,0.6154,0.9768,0.7961,0.9586,0.3647,0.6617
72281,0.8173,0.9537,0.8855,0.7818,0.9498,0.8658,0.5732,0.9964,0.7848
74200,0.9535,0.9640,0.9587,0.9553,0.9671,0.9612,0.8388,0.9974,0.9181
85665,0.9312,0.7788,0.8550,0.6525,0.9894,0.8209,0.9157,0.6503,0.7830
121673,0.9188,0.9855,0.9521,0.9073,0.9869,0.9471,0.9395,0.9466,0.9430
132544,0.6107,0.8426,0.7267,0.4472,0.9115,0.6794,0.6381,0.4991,0.5686
132703,0.5211,0.9639,0.7425,0.5173,0.8831,0.7002,0.5681,0.8254,0.6968
153669,0.9522,0.5981,0.7752,0.9125,0.7827,0.8476,0.6087,0.6442,0.6265
7818,0.5784,0.9241,0.7512,0.4865,0.9977,0.7421,0.5886,0.9413,0.7649
12576,0.9725,0.9400,0.9562,0.9981,0.8511,0.9246,1.0000,0.3390,0.6695
17714,0.9977,0.8488,0.9232,0.9989,0.8459,0.9224,1.0000,0.2027,0.6014
25986,0.9784,0.7520,0.8652,0.9764,0.7762,0.8763,1.0000,0.1126,0.5563
30213,0.9886,0.8873,0.9379,0.9742,0.9153,0.9448,0.9727,0.9156,0.9442
47112,0.9930,0.9068,0.9499,0.8505,0.9833,0.9169,0.9904,0.8963,0.9433
52996,0.7643,0.9618,0.8631,0.7578,0.9531,0.8555,0.7785,0.9498,0.8642
79651,0.9867,0.8504,0.9186,0.9275,0.9442,0.9358,1.0000,0.5914,0.7957
84241,0.9441,0.9572,0.9506,0.9360,0.9822,0.9591,0.9772,0.6786,0.8279
91615,0.9949,0.9705,0.9827,0.9966,0.9582,0.9774,1.0000,0.8548,0.9274
92053,0.7842,0.7011,0.7426,0.5798,0.9314,0.7556,0.5839,0.7577,0.6708
97022,0.9965,0.8650,0.9307,0.7875,0.9434,0.8654,1.0000,0.1506,0.5753
102707,0.9577,0.9705,0.9641,0.9512,0.9736,0.9624,0.9872,0.8459,0.9166
104669,0.9689,0.8151,0.8920,0.8601,0.8820,0.8710,0.4747,1.0000,0.7373
109976,0.4700,0.9058,0.6879,0.4742,0.9736,0.7239,0.5021,0.8100,0.6560
116206,0.9197,0.7158,0.8178,0.9214,0.7502,0.8358,0.6685,0.9533,0.8109
136355,0.9641,0.6571,0.8106,0.9803,0.6137,0.7970,0.8996,0.7047,0.8021
1993,0.9239,0.8177,0.8708,0.8365,0.9373,0.8869,0.9591,0.7764,0.8678
4495,0.9436,0.9347,0.9392,0.9414,0.9340,0.9377,0.9164,0.9221,0.9193
16958,0.9302,0.9585,0.9444,0.9052,0.9554,0.9303,0.7192,0.9807,0.8499
21465,0.9482,0.8374,0.8928,0.9079,0.8667,0.8873,0.9904,0.7024,0.8464
24610,0.7734,0.9739,0.8736,0.6811,0.9977,0.8394,0.5631,0.9999,0.7815
27620,0.8630,0.9798,0.9214,0.9135,0.9628,0.9382,0.9425,0.8929,0.9177
29596,0.9570,0.9853,0.9711,0.9418,0.9916,0.9667,0.9665,0.9410,0.9537
31248,0.9258,0.9769,0.9513,0.9389,0.9574,0.9481,0.9504,0.5440,0.7472
31735,0.9804,0.9819,0.9811,0.9858,0.9731,0.9794,0.9523,0.9972,0.9748
39477,0.9680,0.9892,0.9786,0.9232,0.9948,0.9590,0.9569,0.9800,0.9684
41872,0.8734,0.9734,0.9234,0.8870,0.9641,0.9255,1.0000,0.4394,0.7197
47769,0.9646,0.9909,0.9777,0.8790,0.9983,0.9387,0.9854,0.7892,0.8873
50828,0.9879,0.9881,0.9880,0.9872,0.9766,0.9819,0.9850,0.9857,0.9853
68833,0.6761,0.9845,0.8303,0.6766,0.9785,0.8276,0.9661,0.4657,0.7159
74209,0.8823,0.8423,0.8623,0.8315,0.8760,0.8538,0.9172,0.7451,0.8312
81061,0.9865,0.9818,0.9842,0.9924,0.9662,0.9793,1.0000,0.7194,0.8597
27982,0.9888,0.9418,0.9653,0.9739,0.9463,0.9601,1.0000,0.4950,0.7475
32285,0.9660,0.9823,0.9742,0.9544,0.9815,0.9679,1.0000,0.4264,0.7132
34760,0.9638,0.9851,0.9744,0.9713,0.9473,0.9593,0.9880,0.7260,0.8570
35770,0.9789,0.6939,0.8364,0.9282,0.7296,0.8289,0.6834,0.7796,0.7315
38070,0.9912,0.9687,0.9800,0.9896,0.9682,0.9789,1.0000,0.3927,0.6963
66841,0.9234,0.9268,0.9251,0.8995,0.9523,0.9259,0.8300,0.9949,0.9125
104572,0.9760,0.9633,0.9697,0.9017,0.9925,0.9471,1.0000,0.2983,0.6491
127182,0.9693,0.9487,0.9590,0.9728,0.9468,0.9598,1.0000,0.7490,0.8745
136466,0.9958,0.9489,0.9724,0.9940,0.9615,0.9777,1.0000,0.7512,0.8756
1296,0.9880,0.9132,0.9506,0.8868,0.9677,0.9273,1.0000,0.3872,0.6936
9400,0.9121,0.9623,0.9372,0.9672,0.9232,0.9452,0.7890,0.9919,0.8904
13659,0.7748,0.9327,0.8537,0.7494,0.9631,0.8563,0.9344,0.7255,0.8299
36660,0.9270,0.9649,0.9459,0.9770,0.8382,0.9076,1.0000,0.6450,0.8225
52413,0.9894,0.9119,0.9506,0.9683,0.9155,0.9419,0.9986,0.6904,0.8445
53909,0.9071,0.9988,0.9529,0.9332,0.9961,0.9646,0.6799,1.0000,0.8399
66635,0.9636,0.9493,0.9564,0.9680,0.9512,0.9596,0.9930,0.8737,0.9333
97337,0.9989,0.8592,0.9291,0.9992,0.8657,0.9325,1.0000,0.2423,0.6212
120420,0.9559,0.9401,0.9480,0.9700,0.8645,0.9172,0.9669,0.8703,0.9186
19742,0.9717,0.9582,0.9649,0.9902,0.9170,0.9536,0.9986,0.7670,0.8828
23023,0.8426,0.9868,0.9147,0.8666,0.9240,0.8953,0.8963,0.9242,0.9102
31050,0.8502,0.8923,0.8712,0.8571,0.8621,0.8596,0.8511,0.8599,0.8555
32610,0.9610,0.9132,0.9371,0.9984,0.8394,0.9189,1.0000,0.7301,0.8651
95786,0.9974,0.8930,0.9452,0.9576,0.9708,0.9642,0.9500,0.9767,0.9633
96001,0.8540,0.9773,0.9156,0.7518,0.9949,0.8734,0.7078,0.9952,0.8515
99182,0.9904,0.9249,0.9576,0.9803,0.9461,0.9632,0.9852,0.9347,0.9599
112626,0.9752,0.9807,0.9779,0.9233,0.9909,0.9571,1.0000,0.8161,0.9081
132375,0.9813,0.8885,0.9349,0.9494,0.9053,0.9274,1.0000,0.5656,0.7828
154431,0.8681,0.9264,0.8973,0.8064,0.8705,0.8384,0.8832,0.7841,0.8337
161008,0.9710,0.5739,0.7724,0.9644,0.5991,0.7818,0.7675,0.8814,0.8244
167240,0.9719,0.9756,0.9738,0.8967,0.9999,0.9483,0.9834,0.7931,0.8883
180751,0.9213,0.8806,0.9009,0.9271,0.9154,0.9213,0.9292,0.8923,0.9108
213224,0.8791,0.9640,0.9216,0.8851,0.9568,0.9210,0.9327,0.6182,0.7755
